metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqflat (bits=2,rerank=200)",457.06510000000003,78.2 MB,1.0,2.783431773370186,359.2687306250002
cosine,"tqflat (bits=2,rerank=2000)",457.06510000000003,78.2 MB,1.0,2.3103985797305677,432.8257508349998
cosine,"tqflat (bits=4,rerank=200)",438.6661401250001,115.8 MB,1.0,3.012990939757847,331.8961191699998
cosine,"tqflat (bits=4,rerank=2000)",438.6661401250001,115.8 MB,1.0,2.5068772194340707,398.90266354000005
cosine,"hnsw (m=16,ef_search=100)",347.8024043329999,781.3 MB,0.9755,107.79883953061672,9.276537709999957
cosine,"ivfflat (lists=316,probes=31)",80.30228712500002,783.7 MB,0.939,28.261409157230265,35.38393979000034
