metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",1101.7096587070264,424.1 MB,0.5896,296.0382304600277,3.3779420936480165
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",1101.7096587070264,424.1 MB,0.5896,302.6333854345206,3.3043281016871333
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",1101.7096587070264,424.1 MB,0.7092,152.49300648645826,6.557677778415382
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",1101.7096587070264,424.1 MB,0.7092,153.0175226303121,6.535199255682528
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",1101.7096587070264,424.1 MB,0.7788,88.97158508971172,11.239543490111828
cosine,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",1101.7096587070264,424.1 MB,0.7788,86.28424143550791,11.58960180170834
cosine,"hnsw (m=16,ef_construction=64,ef_search=100)",120.28436112497002,1320.9 MB,0.701,147.60306184761785,6.774927210062742
