metric,method,build_s,idx_size,recall,qps,avg_ms
l2,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=100) [8bit]",405.9923194758594,295.7 MB,0.9142,447.26050196357335,2.2358334697782993
l2,"tqhnsw (m=16,ef_construction=64,ef_search=40,rerank=200) [8bit]",405.9923194758594,295.7 MB,0.9142,471.33663859678427,2.1216258574277163
l2,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=100) [8bit]",405.9923194758594,295.7 MB,0.9772,230.11742259790464,4.345607510767877
l2,"tqhnsw (m=16,ef_construction=64,ef_search=100,rerank=200) [8bit]",405.9923194758594,295.7 MB,0.9772,231.82014270718298,4.313689001835883
l2,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=100) [8bit]",405.9923194758594,295.7 MB,0.9922,133.1672450125399,7.509354120120406
l2,"tqhnsw (m=16,ef_construction=64,ef_search=200,rerank=200) [8bit]",405.9923194758594,295.7 MB,0.9922,124.63386366241821,8.023501563817263
l2,"hnsw (m=16,ef_construction=64,ef_search=100)",72.72532903496176,782.0 MB,0.9828,203.1849160867118,4.92162518389523
