metric,method,build_s,idx_size,recall,qps,avg_ms
cosine,"tqflat (bits=2,rerank=200)",74.170989666,114.5 MB,0.957,1.7172889515230443,582.3131856249998
cosine,"tqflat (bits=2,rerank=2000)",74.170989666,114.5 MB,0.9985,1.613333124881444,619.83479083
cosine,"tqflat (bits=4,rerank=200)",69.42316091599997,178.1 MB,1.0,1.5761862530433455,634.4427874999997
cosine,"tqflat (bits=4,rerank=2000)",69.42316091599997,178.1 MB,1.0,1.5746240872606587,635.0722106250004
cosine,"hnsw (m=16,ef=64)",261.36573875,1320.9 MB,0.592,250.29142024501346,3.9953427049999846
cosine,"ivfflat (lists=1087,probes=108)",89.80654133300004,1031.9 MB,0.939,11.277903762845982,88.66896021000002
