metric,method,build_s,idx_size,recall,qps,avg_ms
l2,"tqflat (bits=2,rerank=200)",26.929694709000003,73.2 MB,0.4565,2.850582871863755,350.80544750000007
l2,"tqflat (bits=2,rerank=2000)",26.929694709000003,73.2 MB,0.9235,2.820193143170309,354.5856433350001
l2,"tqflat (bits=4,rerank=200)",23.72436862500001,104.3 MB,0.9835,2.879549317691096,347.27656646000014
l2,"tqflat (bits=4,rerank=2000)",23.72436862500001,104.3 MB,0.999,2.755708157946934,362.88312937499995
l2,"hnsw (m=16,ef=64)",128.963600333,782.2 MB,0.942,314.4948719307595,3.1797020849998603
l2,"ivfflat (lists=1000,probes=100)",37.10383258400003,525.0 MB,0.9985,21.278836154856666,46.99505145499984
