method,build_s,idx_size,recall,qps,avg_ms
exact (seqscan),0.0,—,1.0,982.2637931102561,1.0180564600000004
"tqflat (bits=2,rerank=200)",0.03528616699999998,328.0 KB,0.997,446.19028788755105,2.2411962500000002
"tqflat (bits=2,rerank=0)",0.03528616699999998,328.0 KB,0.525,583.0564529426011,1.7150997899999998
"tqflat (bits=4,rerank=200)",0.04092620799999991,400.0 KB,1.0,835.763577109898,1.1965106250000002
"tqflat (bits=4,rerank=0)",0.04092620799999991,400.0 KB,0.84,364.7107963374898,2.7418985399999984
"hnsw (m=16,ef=64)",1.022321083,2.7 MB,0.91,3071.445696932206,0.32557958000000164
"ivfflat (lists=70,probes=7)",0.08972587500000007,1.7 MB,0.38,4917.624624041462,0.20335020999999953
